CustomerId,VatcoCode,ClientCode,Name,Address,Phone,Coverage,OfficeType,Lat,Lng,From,Until,HasKits,HasKeys,HasEnvelopes,HasCheques,HasDocuments,IsFund,SucursalId,CityId,Manager,ManagerDetails,ManagerEmail,BusinessTypeId
1,1,1,Fondo CE Bancolombia BOG,Calle 98A No.69B - 65 ,N/A,0,1,4.692085,-74.07601,2020-06-15T04:51:26.214Z,0001-01-01T04:51:26.214Z,0,0,0,0,0,1,1,604,N/A,N/A,N/A,null
1,2,2,Fondo CE Bancolombia MDE,N/A,N/A,0,1,0,0,2020-06-15T04:51:26.214Z,0001-01-01T04:51:26.214Z,0,0,0,0,0,1,2,754,N/A,N/A,N/A,null
1,3,3,Fondo CE Bancolombia CTG,Avenida Crisanto Luque Diag. 22C # 42 - 44 Barrio El Bosque,N/A,0,1,10.402787,-75.519555,2020-06-15T04:51:26.214Z,0001-01-01T04:51:26.214Z,0,0,0,0,0,1,3,605,N/A,N/A,N/A,null
2,1,1,Fondo En Transito CE Efecty BOG,Calle 98A No.69B - 65 ,N/A,0,1,4.692085,-74.07601,2020-06-15T04:51:26.214Z,0001-01-01T04:51:26.214Z,0,0,0,0,0,1,1,604,N/A,N/A,N/A,null
2,2,2,Fondo En Transito CE Efecty MDE,N/A,N/A,0,1,0,0,2020-06-15T04:51:26.214Z,0001-01-01T04:51:26.214Z,0,0,0,0,0,1,2,754,N/A,N/A,N/A,null
2,40,40,Consignación Davivienda,Oficina Bancaria,N/A,0,1,0,0,2020-06-15T04:51:26.214Z,0001-01-01T04:51:26.214Z,0,0,0,0,0,0,1,604,N/A,N/A,N/A,null
2,41,41,Traslado TVS,Transportadora de Valores,N/A,0,1,0,0,2020-06-15T04:51:26.214Z,0001-01-01T04:51:26.214Z,0,0,0,0,0,0,1,604,N/A,N/A,N/A,null
2,42,42,Consignación Av Villas,Oficina Bancaria,N/A,0,1,4.604873,-74.183547,2020-06-15T04:51:26.214Z,0001-01-01T04:51:26.214Z,0,0,0,0,0,0,1,604,N/A,N/A,N/A,null
2,51,903984,C.C.PLAZA CENTRAL,CARRERA 65 # 11 - 50   PISO 2,N/A,0,1,4.632017,-74.115543,2020-06-15T04:51:26.214Z,0001-01-01T04:51:26.214Z,0,0,0,0,0,0,1,604,N/A,N/A,N/A,null
2,52,903459,LA TRINIDAD CR 60,CR 60 # 4 D - 45,N/A,0,1,4.624469,-74.118529,2020-06-15T04:51:26.214Z,0001-01-01T04:51:26.214Z,0,0,0,0,0,0,1,604,N/A,N/A,N/A,null
2,53,902993,C COMERCIAL CIPRES,AK 50 - 22 - 41,N/A,0,1,4.636528,-74.100052,2020-06-15T04:51:26.214Z,0001-01-01T04:51:26.214Z,0,0,0,0,0,0,1,604,N/A,N/A,N/A,null
